employer_name;reviews_count;culture_count;salaries_count;benefits_count;employer_website;employer_headquarters;employer_founded;employer_industry;employer_revenue;url;geral;cultura_e_valores;diversidade_e_inclusão;qualidade_de_vida;alta_liderança;remuneração_e_benefícios;oportunidades_de_carreira;recomendam_para_outras_pessoas;perspectiva_positiva_da_empresa;segmento;nome;match_percent;nome_normalizado;cnpj;Nome_Bancos;ano;trimestre;categoria;tipo;instituição_financeira;índice;quantidade_de_reclamações_reguladas_procedentes;quantidade_de_reclamações_reguladas___outras;quantidade_de_reclamações_não_reguladas;quantidade_total_de_reclamações;quantidade_total_de_clientes__ccs_e_scr;quantidade_de_clientes__ccs;quantidade_de_clientes__scr
;;;;;;;;;;;;;;;;;;;;;;;;;;2021;3º;Demais bancos e financeiras;Conglomerado;MERCADO CRÉDITO (conglomerado); ;0;0;1;1;47984; ;47984
;;;;;;;;;;;;;;;;;;;;;;;;;;2021;3º;Top 10 - Bancos e Financeiras;Conglomerado;NUBANK (conglomerado);0,13;3;18;17;38;22267718;20581767;3601628
;;;;;;;;;;;;;;;;;;;;;;;;;;2021;3º;Demais bancos e financeiras;Conglomerado;PAGBANK-PAGSEGURO (conglomerado); ;5;4;2;11;3342281;3335727;7063
;;;;;;;;;;;;;;;;;;;;;;;;;;2021;3º;Demais bancos e financeiras;Conglomerado;PARANÁ BANCO (conglomerado);193,45;94;412;20;526;485895;10034;476123
;;;;;;;;;;;;;;;;;;;;;;;;;;2021;3º;Demais bancos e financeiras;Conglomerado;SIMPALA (conglomerado); ;1;0;1;2;2883;25;2858
;;;;;;;;;;;;;;;;;;;;;;;;;;2021;3º;Demais bancos e financeiras;Conglomerado;VOITER (conglomerado); ;1;2;2;5;5059;4490;841
;;;;;;;;;;;;;;;;;;;;;;;;;;2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;AGIBANK (conglomerado);195,92;309;334;76;719;1577152;1224075;996638
;;;;;;;;;;;;;;;;;;;;;;;;;;2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BANCO SICOOB (conglomerado); ;21;26;13;60;5291486;2461788;3440676
;;;;;;;;;;;;;;;;;;;;;;;;;;2021;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BB (conglomerado);14,39;1034;2084;1568;4686;71820761;66103224;33139108
;;;;;;;;;;;;;;;;;;;;;;;;;;2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BBC (conglomerado); ;1;0;0;1;5306; ;5306
;;;;;;;;;;;;;;;;;;;;;;;;;;2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BNQI - FINANCEIRO (conglomerado); ;29;25;8;62; ; ; 
;;;;;;;;;;;;;;;;;;;;;;;;;;2021;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BTG PACTUAL/BANCO PAN (conglomerado);63,08;1128;1081;547;2756;17880721;11720010;9553219
;;;;;;;;;;;;;;;;;;;;;;;;;;2021;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;C6 BANK (conglomerado);106,22;1444;1326;541;3311;13594217;12201000;4405356
;;;;;;;;;;;;;;;;;;;;;;;;;;2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;COBUCCIO (conglomerado); ;6;15;24;45; ; ; 
;;;;;;;;;;;;;;;;;;;;;;;;;;2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;COLOMBO (conglomerado); ;2;11;0;13;354942;47;354909
;;;;;;;;;;;;;;;;;;;;;;;;;;2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;CRED-SYSTEM (conglomerado); ;21;16;13;50; ; ; 
;;;;;;;;;;;;;;;;;;;;;;;;;;2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;FINAXIS (conglomerado); ;0;1;1;2;3981;3981; 
;;;;;;;;;;;;;;;;;;;;;;;;;;2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;GENIAL (conglomerado); ;16;5;1;22;325801;325797;47
;;;;;;;;;;;;;;;;;;;;;;;;;;2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;GERENCIANET (conglomerado); ;4;10;7;21;260700;260679;1109
;;;;;;;;;;;;;;;;;;;;;;;;;;2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;GM (conglomerado); ;1;14;16;31;258368;489;257965
;;;;;;;;;;;;;;;;;;;;;;;;;;2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;GRUPO ZEMA (conglomerado); ;1;3;4;8;463914;582;463351
;;;;;;;;;;;;;;;;;;;;;;;;;;2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;HERVAL - HS (conglomerado); ;7;5;1;13;206484;9685;201867
;;;;;;;;;;;;;;;;;;;;;;;;;;2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;MASTER (conglomerado);952,93;122;99;15;236;128025;7385;120867
;;;;;;;;;;;;;;;;;;;;;;;;;;2021;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;MERCADO CRÉDITO (conglomerado);21,45;590;931;211;1732;27495743;27451306;1760832
;;;;;;;;;;;;;;;;;;;;;;;;;;2021;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;NUBANK (conglomerado);5,26;263;729;345;1337;49967783;47944167;23501884
;;;;;;;;;;;;;;;;;;;;;;;;;;2021;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;PAGBANK-PAGSEGURO (conglomerado);15,78;345;668;196;1209;21860165;21852866;326378
;;;;;;;;;;;;;;;;;;;;;;;;;;2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;PARANÁ BANCO (conglomerado);95,47;47;240;15;302;492284;10244;482350
;;;;;;;;;;;;;;;;;;;;;;;;;;2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;SIMPALA (conglomerado); ;1;0;0;1;3000;26;2974
;;;;;;;;;;;;;;;;;;;;;;;;;;2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;STONE (conglomerado);21,55;40;82;11;133;1855667;1855564;104
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;AGIBANK (conglomerado);77,63;132;223;79;434;1700228;1375944;1011273
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BANCO SICOOB (conglomerado); ;26;36;9;71;5462202;2521215;3574459
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BB (conglomerado);12,32;891;1819;1116;3826;72316273;66161824;33862615
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BNQI - FINANCEIRO (conglomerado); ;29;74;5;108; ; ; 
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BOCOM (conglomerado); ;1;0;0;1;8804;7271;2068
