employer_name;reviews_count;culture_count;salaries_count;benefits_count;employer_website;employer_headquarters;employer_founded;employer_industry;employer_revenue;url;geral;cultura_e_valores;diversidade_e_inclusão;qualidade_de_vida;alta_liderança;remuneração_e_benefícios;oportunidades_de_carreira;recomendam_para_outras_pessoas;perspectiva_positiva_da_empresa;segmento;nome;match_percent;nome_normalizado;cnpj;Nome_Bancos;ano;trimestre;categoria;tipo;instituição_financeira;índice;quantidade_de_reclamações_reguladas_procedentes;quantidade_de_reclamações_reguladas___outras;quantidade_de_reclamações_não_reguladas;quantidade_total_de_reclamações;quantidade_total_de_clientes__ccs_e_scr;quantidade_de_clientes__ccs;quantidade_de_clientes__scr
BNP Paribas;13000;4100;20000;3600;http://www.group.bnpparibas;Paris, França;2000.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Mais de US$ 10 bilhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BNP-Paribas-EI_IE10342.13,24.htm;3.8;3.7;4.0;3.8;3.4;3.4;3.5;77.0;63.0;S3;BNP PARIBAS;100;BNPPARIBAS;01522368;BNP PARIBAS - PRUDENCIAL;2021;1º;Grupo Secundário;Conglomerado;BNP PARIBAS (conglomerado);181,98;447;250;90;787;2456247;12581;2444170
BNP Paribas;13000;4100;20000;3600;http://www.group.bnpparibas;Paris, França;2000.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Mais de US$ 10 bilhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BNP-Paribas-EI_IE10342.13,24.htm;3.8;3.7;4.0;3.8;3.4;3.4;3.5;77.0;63.0;S3;BNP PARIBAS;100;BNPPARIBAS;01522368;BNP PARIBAS - PRUDENCIAL;2021;2º;Demais bancos e financeiras;Conglomerado;BNP PARIBAS (conglomerado);192,10;456;268;94;818;2373655;11796;2362365
BNP Paribas;13000;4100;20000;3600;http://www.group.bnpparibas;Paris, França;2000.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Mais de US$ 10 bilhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BNP-Paribas-EI_IE10342.13,24.htm;3.8;3.7;4.0;3.8;3.4;3.4;3.5;77.0;63.0;S3;BNP PARIBAS;100;BNPPARIBAS;01522368;BNP PARIBAS - PRUDENCIAL;2021;3º;Demais bancos e financeiras;Conglomerado;BNP PARIBAS (conglomerado);125,22;286;493;117;896;2283925;11993;2272412
BNP Paribas;13000;4100;20000;3600;http://www.group.bnpparibas;Paris, França;2000.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Mais de US$ 10 bilhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BNP-Paribas-EI_IE10342.13,24.htm;3.8;3.7;4.0;3.8;3.4;3.4;3.5;77.0;63.0;S3;BNP PARIBAS;100;BNPPARIBAS;01522368;BNP PARIBAS - PRUDENCIAL;2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BNP PARIBAS (conglomerado);134,90;302;385;61;748;2238538;12083;2226945
BNP Paribas;13000;4100;20000;3600;http://www.group.bnpparibas;Paris, França;2000.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Mais de US$ 10 bilhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BNP-Paribas-EI_IE10342.13,24.htm;3.8;3.7;4.0;3.8;3.4;3.4;3.5;77.0;63.0;S3;BNP PARIBAS;100;BNPPARIBAS;01522368;BNP PARIBAS - PRUDENCIAL;2022;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BNP PARIBAS (conglomerado);79,87;173;313;58;544;2165958;11882;2154555
BNP Paribas;13000;4100;20000;3600;http://www.group.bnpparibas;Paris, França;2000.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Mais de US$ 10 bilhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BNP-Paribas-EI_IE10342.13,24.htm;3.8;3.7;4.0;3.8;3.4;3.4;3.5;77.0;63.0;S3;BNP PARIBAS;100;BNPPARIBAS;01522368;BNP PARIBAS - PRUDENCIAL;2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BNP PARIBAS (conglomerado);42,48;87;279;74;440;2047673;11438;2036674
BNP Paribas;13000;4100;20000;3600;http://www.group.bnpparibas;Paris, França;2000.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Mais de US$ 10 bilhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BNP-Paribas-EI_IE10342.13,24.htm;3.8;3.7;4.0;3.8;3.4;3.4;3.5;77.0;63.0;S3;BNP PARIBAS;100;BNPPARIBAS;01522368;BNP PARIBAS - PRUDENCIAL;2022;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BNP PARIBAS (conglomerado);32,84;63;278;50;391;1917938;10966;1907365
BTG Pactual;1600;683;2800;635;http://www.btgpactual.com;São Paulo, Brasil;nan;/Explorar/melhores-gestão-de-ativos-e-investimentos-empresas_II.9,41_IIND200146.htm;Desconhecida/não se aplica;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BTG-Pactual-EI_IE411540.13,24.htm;4.0;3.7;3.5;2.8;3.7;4.4;4.2;78.0;73.0;S1;BTG PACTUAL;100;BTGPACTUAL;30306294;BTG PACTUAL - PRUDENCIAL;2021;1º;Grupo Secundário;Conglomerado;BTG PACTUAL (conglomerado); ;29;44;60;133;766998;679113;147461
Banco Alfa;175;74;271;105;http://www.alfanet.com.br;São Paulo, Brasil;1925.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Desconhecida/não se aplica;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Alfa-EI_IE817306.13,23.htm;3.5;3.2;3.2;3.1;2.8;3.8;2.7;68.0;47.0;S3;ALFA;100;ALFA;60770336;ALFA - PRUDENCIAL;2021;1º;Grupo Secundário;Conglomerado;ALFA (conglomerado); ;14;44;15;73;412135;268186;145105
Banco Alfa;175;74;271;105;http://www.alfanet.com.br;São Paulo, Brasil;1925.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Desconhecida/não se aplica;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Alfa-EI_IE817306.13,23.htm;3.5;3.2;3.2;3.1;2.8;3.8;2.7;68.0;47.0;S3;ALFA;100;ALFA;60770336;ALFA - PRUDENCIAL;2021;2º;Demais bancos e financeiras;Conglomerado;ALFA (conglomerado); ;19;32;16;67;416540;268174;149521
Banco Alfa;175;74;271;105;http://www.alfanet.com.br;São Paulo, Brasil;1925.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Desconhecida/não se aplica;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Alfa-EI_IE817306.13,23.htm;3.5;3.2;3.2;3.1;2.8;3.8;2.7;68.0;47.0;S3;ALFA;100;ALFA;60770336;ALFA - PRUDENCIAL;2021;3º;Demais bancos e financeiras;Conglomerado;ALFA (conglomerado); ;13;61;11;85;420486;268221;153423
Banco Alfa;175;74;271;105;http://www.alfanet.com.br;São Paulo, Brasil;1925.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Desconhecida/não se aplica;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Alfa-EI_IE817306.13,23.htm;3.5;3.2;3.2;3.1;2.8;3.8;2.7;68.0;47.0;S3;ALFA;100;ALFA;60770336;ALFA - PRUDENCIAL;2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;ALFA (conglomerado); ;16;54;12;82;422572;268328;155393
Banco Alfa;175;74;271;105;http://www.alfanet.com.br;São Paulo, Brasil;1925.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Desconhecida/não se aplica;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Alfa-EI_IE817306.13,23.htm;3.5;3.2;3.2;3.1;2.8;3.8;2.7;68.0;47.0;S3;ALFA;100;ALFA;60770336;ALFA - PRUDENCIAL;2022;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;ALFA (conglomerado); ;12;35;10;57;418830;267342;152627
Banco Alfa;175;74;271;105;http://www.alfanet.com.br;São Paulo, Brasil;1925.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Desconhecida/não se aplica;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Alfa-EI_IE817306.13,23.htm;3.5;3.2;3.2;3.1;2.8;3.8;2.7;68.0;47.0;S3;ALFA;100;ALFA;60770336;ALFA - PRUDENCIAL;2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;ALFA (conglomerado); ;23;48;9;80;436746;267423;170417
Banco Alfa;175;74;271;105;http://www.alfanet.com.br;São Paulo, Brasil;1925.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Desconhecida/não se aplica;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Alfa-EI_IE817306.13,23.htm;3.5;3.2;3.2;3.1;2.8;3.8;2.7;68.0;47.0;S3;ALFA;100;ALFA;60770336;ALFA - PRUDENCIAL;2022;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;ALFA (conglomerado); ;7;25;4;36;439630;267442;173252
Banco BMG;445;232;704;277;http://www.bancobmg.com.br;São Paulo, Brasil;1930.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;De US$ 1 a US$ 5 milhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-BMG-EI_IE2482923.13,22.htm;4.1;3.9;4.1;3.7;3.6;4.2;3.5;79.0;63.0;S3;BMG;100;BMG;61186680;BMG - PRUDENCIAL;2021;1º;Grupo Secundário;Conglomerado;BMG (conglomerado);165,20;1190;644;251;2085;7202992;3421046;5072090
Banco BMG;445;232;704;277;http://www.bancobmg.com.br;São Paulo, Brasil;1930.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;De US$ 1 a US$ 5 milhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-BMG-EI_IE2482923.13,22.htm;4.1;3.9;4.1;3.7;3.6;4.2;3.5;79.0;63.0;S3;BMG;100;BMG;61186680;BMG - PRUDENCIAL;2021;2º;Demais bancos e financeiras;Conglomerado;BMG (conglomerado);101,86;795;669;264;1728;7804650;4171643;5102142
Banco BMG;445;232;704;277;http://www.bancobmg.com.br;São Paulo, Brasil;1930.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;De US$ 1 a US$ 5 milhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-BMG-EI_IE2482923.13,22.htm;4.1;3.9;4.1;3.7;3.6;4.2;3.5;79.0;63.0;S3;BMG;100;BMG;61186680;BMG - PRUDENCIAL;2021;3º;Demais bancos e financeiras;Conglomerado;BMG (conglomerado);106,63;868;1268;262;2398;8140173;4751592;5008921
Banco BMG;445;232;704;277;http://www.bancobmg.com.br;São Paulo, Brasil;1930.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;De US$ 1 a US$ 5 milhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-BMG-EI_IE2482923.13,22.htm;4.1;3.9;4.1;3.7;3.6;4.2;3.5;79.0;63.0;S3;BMG;100;BMG;61186680;BMG - PRUDENCIAL;2021;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BMG (conglomerado);67,87;618;748;167;1533;9105226;5655748;5202772
Banco BMG;445;232;704;277;http://www.bancobmg.com.br;São Paulo, Brasil;1930.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;De US$ 1 a US$ 5 milhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-BMG-EI_IE2482923.13,22.htm;4.1;3.9;4.1;3.7;3.6;4.2;3.5;79.0;63.0;S3;BMG;100;BMG;61186680;BMG - PRUDENCIAL;2022;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BMG (conglomerado);47,20;489;577;118;1184;10358318;6712419;5648428
Banco BMG;445;232;704;277;http://www.bancobmg.com.br;São Paulo, Brasil;1930.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;De US$ 1 a US$ 5 milhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-BMG-EI_IE2482923.13,22.htm;4.1;3.9;4.1;3.7;3.6;4.2;3.5;79.0;63.0;S3;BMG;100;BMG;61186680;BMG - PRUDENCIAL;2022;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BMG (conglomerado);46,87;542;844;154;1540;11561565;7399043;6467199
Banco BMG;445;232;704;277;http://www.bancobmg.com.br;São Paulo, Brasil;1930.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;De US$ 1 a US$ 5 milhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-BMG-EI_IE2482923.13,22.htm;4.1;3.9;4.1;3.7;3.6;4.2;3.5;79.0;63.0;S3;BMG;100;BMG;61186680;BMG - PRUDENCIAL;2022;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BMG (conglomerado);53,88;661;893;139;1693;12267412;7788639;6956142
Banco Bradesco;11000;3300;19000;3200;http://www.bancobradesco.com.br;Osasco, Brasil;1943.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Mais de US$ 10 bilhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Bradesco-EI_IE10997.13,27.htm;4.2;3.8;3.9;3.4;3.4;4.3;3.8;81.0;66.0;S1;BRADESCO;100;BRASCO;60746948;BRADESCO - PRUDENCIAL;2021;1º;Top 10;Conglomerado;BRADESCO (conglomerado);22,78;2248;3913;2591;8752;98648524;89718703;43974719
Banco Bradesco;11000;3300;19000;3200;http://www.bancobradesco.com.br;Osasco, Brasil;1943.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Mais de US$ 10 bilhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Bradesco-EI_IE10997.13,27.htm;4.2;3.8;3.9;3.4;3.4;4.3;3.8;81.0;66.0;S1;BRADESCO;100;BRASCO;60746948;BRADESCO - PRUDENCIAL;2021;2º;Top 10 - Bancos e Financeiras;Conglomerado;BRADESCO (conglomerado);25,33;2515;4076;3048;9639;99260817;90494990;43726399
Banco Bradesco;11000;3300;19000;3200;http://www.bancobradesco.com.br;Osasco, Brasil;1943.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Mais de US$ 10 bilhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Bradesco-EI_IE10997.13,27.htm;4.2;3.8;3.9;3.4;3.4;4.3;3.8;81.0;66.0;S1;BRADESCO;100;BRASCO;60746948;BRADESCO - PRUDENCIAL;2021;3º;Top 10 - Bancos e Financeiras;Conglomerado;BRADESCO (conglomerado);36,03;3613;4188;2892;10693;100264792;91440415;43363537
Banco Bradesco;11000;3300;19000;3200;http://www.bancobradesco.com.br;Osasco, Brasil;1943.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Mais de US$ 10 bilhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Bradesco-EI_IE10997.13,27.htm;4.2;3.8;3.9;3.4;3.4;4.3;3.8;81.0;66.0;S1;BRADESCO;100;BRASCO;60746948;BRADESCO - PRUDENCIAL;2021;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BRADESCO (conglomerado);25,30;2529;3483;2092;8104;99921260;91285260;44108477
Banco Bradesco;11000;3300;19000;3200;http://www.bancobradesco.com.br;Osasco, Brasil;1943.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Mais de US$ 10 bilhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Bradesco-EI_IE10997.13,27.htm;4.2;3.8;3.9;3.4;3.4;4.3;3.8;81.0;66.0;S1;BRADESCO;100;BRASCO;60746948;BRADESCO - PRUDENCIAL;2022;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BRADESCO (conglomerado);25,22;2587;3473;1987;8047;102567618;93858121;44622099
Banco Bradesco;11000;3300;19000;3200;http://www.bancobradesco.com.br;Osasco, Brasil;1943.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Mais de US$ 10 bilhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Bradesco-EI_IE10997.13,27.htm;4.2;3.8;3.9;3.4;3.4;4.3;3.8;81.0;66.0;S1;BRADESCO;100;BRASCO;60746948;BRADESCO - PRUDENCIAL;2022;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BRADESCO (conglomerado);25,18;2564;4393;1765;8722;101788328;95939623;39991382
Banco Bradesco;11000;3300;19000;3200;http://www.bancobradesco.com.br;Osasco, Brasil;1943.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Mais de US$ 10 bilhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Bradesco-EI_IE10997.13,27.htm;4.2;3.8;3.9;3.4;3.4;4.3;3.8;81.0;66.0;S1;BRADESCO;100;BRASCO;60746948;BRADESCO - PRUDENCIAL;2022;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BRADESCO (conglomerado);21,64;2225;3075;1578;6878;102814534;97211510;39643150
Banco Daycoval;300;157;521;107;https://www.daycoval.com.br;São Paulo, Brasil;1971.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;De US$ 25 a US$ 100 milhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Daycoval-EI_IE1480352.13,27.htm;4.0;3.7;3.6;3.4;3.3;4.1;3.4;78.0;72.0;S3;BANCO DAYCOVAL S.A;100;DAYCOVAL;62232889;BANCO DAYCOVAL S.A - PRUDENCIAL;2021;1º;Grupo Secundário;Conglomerado;DAYCOVAL (conglomerado);274,48;331;400;113;844;1205882;138048;1094686
Banco Daycoval;300;157;521;107;https://www.daycoval.com.br;São Paulo, Brasil;1971.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;De US$ 25 a US$ 100 milhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Daycoval-EI_IE1480352.13,27.htm;4.0;3.7;3.6;3.4;3.3;4.1;3.4;78.0;72.0;S3;BANCO DAYCOVAL S.A;100;DAYCOVAL;62232889;BANCO DAYCOVAL S.A - PRUDENCIAL;2021;2º;Demais bancos e financeiras;Conglomerado;DAYCOVAL (conglomerado);777,01;1004;530;122;1656;1292129;150778;1171932
Banco Daycoval;300;157;521;107;https://www.daycoval.com.br;São Paulo, Brasil;1971.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;De US$ 25 a US$ 100 milhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Daycoval-EI_IE1480352.13,27.htm;4.0;3.7;3.6;3.4;3.3;4.1;3.4;78.0;72.0;S3;BANCO DAYCOVAL S.A;100;DAYCOVAL;62232889;BANCO DAYCOVAL S.A - PRUDENCIAL;2021;3º;Demais bancos e financeiras;Conglomerado;DAYCOVAL (conglomerado);255,32;332;552;63;947;1300297;160302;1173219
Banco Daycoval;300;157;521;107;https://www.daycoval.com.br;São Paulo, Brasil;1971.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;De US$ 25 a US$ 100 milhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Daycoval-EI_IE1480352.13,27.htm;4.0;3.7;3.6;3.4;3.3;4.1;3.4;78.0;72.0;S3;BANCO DAYCOVAL S.A;100;DAYCOVAL;62232889;BANCO DAYCOVAL S.A - PRUDENCIAL;2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;DAYCOVAL (conglomerado);90,80;120;330;42;492;1321554;172698;1185305
Banco Daycoval;300;157;521;107;https://www.daycoval.com.br;São Paulo, Brasil;1971.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;De US$ 25 a US$ 100 milhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Daycoval-EI_IE1480352.13,27.htm;4.0;3.7;3.6;3.4;3.3;4.1;3.4;78.0;72.0;S3;BANCO DAYCOVAL S.A;100;DAYCOVAL;62232889;BANCO DAYCOVAL S.A - PRUDENCIAL;2022;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;DAYCOVAL (conglomerado);150,03;205;352;43;600;1366381;184638;1221767
Banco Daycoval;300;157;521;107;https://www.daycoval.com.br;São Paulo, Brasil;1971.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;De US$ 25 a US$ 100 milhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Daycoval-EI_IE1480352.13,27.htm;4.0;3.7;3.6;3.4;3.3;4.1;3.4;78.0;72.0;S3;BANCO DAYCOVAL S.A;100;DAYCOVAL;62232889;BANCO DAYCOVAL S.A - PRUDENCIAL;2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;DAYCOVAL (conglomerado);110,61;173;447;60;680;1564046;237353;1377871
Banco Daycoval;300;157;521;107;https://www.daycoval.com.br;São Paulo, Brasil;1971.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;De US$ 25 a US$ 100 milhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Daycoval-EI_IE1480352.13,27.htm;4.0;3.7;3.6;3.4;3.3;4.1;3.4;78.0;72.0;S3;BANCO DAYCOVAL S.A;100;DAYCOVAL;62232889;BANCO DAYCOVAL S.A - PRUDENCIAL;2022;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;DAYCOVAL (conglomerado);103,22;180;537;79;796;1743806;275309;1527166
Banco Fibra;119;41;172;37;http://www.bancofibra.com.br;São Paulo, Brasil;nan;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Desconhecida/não se aplica;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Fibra-EI_IE744986.13,24.htm;4.3;4.3;4.3;3.8;3.7;4.2;3.6;87.0;84.0;S3;BANCO FIBRA S.A.;100;FIBRA;58616418;BANCO FIBRA S.A. - PRUDENCIAL;2021;1º;Grupo Secundário;Banco/financeira;BANCO FIBRA S.A.; ;1;2;2;5;163619;3832;160325
Banco Fibra;119;41;172;37;http://www.bancofibra.com.br;São Paulo, Brasil;nan;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Desconhecida/não se aplica;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Fibra-EI_IE744986.13,24.htm;4.3;4.3;4.3;3.8;3.7;4.2;3.6;87.0;84.0;S3;BANCO FIBRA S.A.;100;FIBRA;58616418;BANCO FIBRA S.A. - PRUDENCIAL;2021;2º;Demais bancos e financeiras;Banco/financeira;BANCO FIBRA S.A.; ;0;2;3;5;163669;4032;160187
Banco Fibra;119;41;172;37;http://www.bancofibra.com.br;São Paulo, Brasil;nan;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Desconhecida/não se aplica;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Fibra-EI_IE744986.13,24.htm;4.3;4.3;4.3;3.8;3.7;4.2;3.6;87.0;84.0;S3;BANCO FIBRA S.A.;100;FIBRA;58616418;BANCO FIBRA S.A. - PRUDENCIAL;2021;3º;Demais bancos e financeiras;Banco/financeira;BANCO FIBRA S.A.; ;0;0;1;1;163670;4092;160152
Banco Fibra;119;41;172;37;http://www.bancofibra.com.br;São Paulo, Brasil;nan;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Desconhecida/não se aplica;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Fibra-EI_IE744986.13,24.htm;4.3;4.3;4.3;3.8;3.7;4.2;3.6;87.0;84.0;S3;BANCO FIBRA S.A.;100;FIBRA;58616418;BANCO FIBRA S.A. - PRUDENCIAL;2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;BANCO FIBRA S.A.; ;1;2;0;3;164195;4262;160535
Banco Fibra;119;41;172;37;http://www.bancofibra.com.br;São Paulo, Brasil;nan;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Desconhecida/não se aplica;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Fibra-EI_IE744986.13,24.htm;4.3;4.3;4.3;3.8;3.7;4.2;3.6;87.0;84.0;S3;BANCO FIBRA S.A.;100;FIBRA;58616418;BANCO FIBRA S.A. - PRUDENCIAL;2022;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;BANCO FIBRA S.A.; ;1;1;0;2;163906;4390;160140
Banco Fibra;119;41;172;37;http://www.bancofibra.com.br;São Paulo, Brasil;nan;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Desconhecida/não se aplica;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Fibra-EI_IE744986.13,24.htm;4.3;4.3;4.3;3.8;3.7;4.2;3.6;87.0;84.0;S3;BANCO FIBRA S.A.;100;FIBRA;58616418;BANCO FIBRA S.A. - PRUDENCIAL;2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;BANCO FIBRA S.A.; ;0;1;0;1;163544;4432;159809
Banco Original;651;286;1100;261;http://www.original.com.br;São Paulo, Brasil;2016.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Desconhecida/não se aplica;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Original-EI_IE1026577.13,27.htm;3.8;3.4;3.5;3.4;3.1;4.0;3.3;71.0;53.0;S3;ORIGINAL;100;ORIGINAL;92894922;ORIGINAL - PRUDENCIAL;2021;1º;Grupo Secundário;Conglomerado;ORIGINAL (conglomerado);79,22;316;289;239;844;3988641;3643140;820078
